price,location,advert_no,start_date,brand,series,model,year,mileage,vehicleTransmission,fuelType,bodyType,engineDisplacement,enginePower,driveUnit,fuelTank,swappableness,fromWhom
682900,SAKARYA / SERDİVAN / İSTİKLAL MAHALLESİ,21525362,09 Aralık 2022,Seat,Leon,1.6 TDI Style,2018,68.000 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,115 hp,Önden Çekiş,"4,1 lt",Boya-değişen:,Takasa Uygun Değil,
255000,ANTALYA / KEPEZ / AHATLI MAHALLESİ,21525182,09 Aralık 2022,BMW,3 Serisi,320d Standart,2004,415.000 km,Otomatik,Dizel,Sedan,1995 cc,150 hp,Arkadan İtiş,"6,9 lt",Boya-değişen:,Takasa Uygun:,Takasa Uygun Değil,Galeriden
267500,ANKARA / YENİMAHALLE / GAYRET MAHALLESİ,21413216,09 Aralık 2022,Peugeot,207,1.4 HDi Trendy,2011,202.000 km,Düz,Dizel,Hatchback/5,1360 cc,71 hp,Önden Çekiş,"4,4 lt",Boya-değişen:,Takasa Uygun,Kimden:
575750,İSTANBUL / SULTANBEYLİ / TURGUT REİS MAHALLESİ,21393077,09 Aralık 2022,Renault,Megane,1.5 Blue DCI Touch,2020,80.000 km,Yarı Otomatik,Dizel,Sedan,1461 cc,115 hp,Önden Çekiş,"4,2 lt",Boya-değişen:,Takasa Uygun:,Takasa Uygun Değil,Galeriden
368000,ADIYAMAN / KAHTA / MENZİL KÖYÜ,21524361,09 Aralık 2022,Hyundai,Accent Blue,1.6 CRDI Biz,2014,113.000 km,Otomatik,Dizel,Sedan,1582 cc,128 hp,Önden Çekiş,"5,6 lt",Boya-değişen:,Takasa Uygun:,Takasa Uygun Değil,Galeriden
425000,İSTANBUL / MALTEPE / CEVİZLİ MAHALLESİ,21524173,09 Aralık 2022,Volkswagen,Polo,1.4 TDi Comfortline,2016,90.000 km,Yarı Otomatik,Dizel,Hatchback/5,1422 cc,90 hp,Önden Çekiş,"3,5 lt",Boya-değişen:,Takasa Uygun:,Takasa Uygun Değil,Galeriden
270000,ADIYAMAN / KAHTA / ÇOBANLI MAHALLESİ,21522204,09 Aralık 2022,Renault,Symbol,1.4 Expression Plus,2011,145.000 km,Düz,LPG & Benzin,Sedan,1390 cc,75 hp,Önden Çekiş,"7,1 lt",Boya-değişen:,Takasa Uygun Değil,Kimden:
455000,İSTANBUL / BEYLİKDÜZÜ / ADNAN KAHVECİ MAHALLESİ,21523639,09 Aralık 2022,Renault,Megane,1.5 dCi Touch,2018,88.000 km,Yarı Otomatik,Dizel,Sedan,1461 cc,110 hp,Önden Çekiş,"3,8 lt",Boya-değişen:,Takasa Uygun,Kimden:
276950,İSTANBUL / ATAŞEHİR / İNÖNÜ MAHALLESİ,21523561,09 Aralık 2022,Audi,A8,4.2 Quattro,1998,280.000 km,Otomatik,Benzin,Sedan,4172 cc,310 hp,4WD (Sürekli),"12,9 lt",Boya-değişen:,Takasa Uygun:,Takasa Uygun,Galeriden
361500,İSTANBUL / BAHÇELİEVLER / YENİBOSNA MERKEZ MAHALLESİ,21523361,09 Aralık 2022,Peugeot,208,1.4 HDi Active,2014,75.000 km,Yarı Otomatik,Dizel,Hatchback/5,1398 cc,69 hp,Önden Çekiş,"3,4 lt",Boya-değişen:,Takasa Uygun,Kimden:
258950,İSTANBUL / ATAŞEHİR / İNÖNÜ MAHALLESİ,21523549,09 Aralık 2022,Peugeot,301,1.6 HDi Active,2016,130.000 km,Düz,Dizel,Sedan,1560 cc,93 hp,Önden Çekiş,"4,3 lt",Boya-değişen:,Takasa Uygun,Kimden:
233900,ANKARA / YENİMAHALLE / TURGUT ÖZAL MAHALLESİ,21523461,09 Aralık 2022,Renault,Clio,1.4 RXT,2001,106.000 km,Otomatik,Benzin,Hatchback/5,1390 cc,98 hp,Önden Çekiş,"6,7 lt",Boya-değişen:,Takasa Uygun:,Takasa Uygun,Galeriden
239750,SAMSUN / BAFRA / ALTINYAPRAK MAHALLESİ,21523161,09 Aralık 2022,Chevrolet,Aveo,1.3 D LT,2012,169.000 km,Düz,Dizel,Sedan,1248 cc,75 hp,Önden Çekiş,"3,7 lt",Boya-değişen:,Takasa Uygun:,Takasa Uygun Değil,Galeriden
197000,ISPARTA / MERKEZ / DAVRAZ MAHALLESİ,21523077,09 Aralık 2022,Peugeot,307,1.4 HDi XR,2004,202.000 km,Düz,Dizel,Hatchback/5,1398 cc,69 hp,Önden Çekiş,"4,5 lt",Boya-değişen:,Takasa Uygun,Kimden:
158000,ÇORUM / OSMANCIK / YAZI MAHALLESİ,21522734,09 Aralık 2022,Fiat,Siena,1.4 EL,2001,148.000 km,Düz,LPG & Benzin,Sedan,1372 cc,71 hp,Önden Çekiş,51 lt,Takasa Uygun,Galeriden
185000,KONYA / KARATAY / KARAKULAK MAHALLESİ,21271054,09 Aralık 2022,Ford,Fiesta,1.4 TDCi Comfort,2007,270.000 km,Düz,Dizel,Hatchback/5,1399 cc,68 hp,Önden Çekiş,"4,3 lt",Boya-değişen:,Takasa Uygun:,Takasa Uygun,Galeriden
